@relation data1
@attribute sex {Male,Female}
@attribute index numeric
@attribute 'Frontal lobe' numeric
@attribute 'Rear width' numeric
@attribute 'Carapace length' numeric
@attribute 'Carapace width' numeric
@attribute 'Body depth' numeric
@attribute species {Blue,Orange}
@data
Male,1,8.1,6.7,16.1,19,7,?
Male,2,8.8,7.7,18.1,20.8,7.4,?
Male,50,21.3,15.7,47.1,54.6,20,?
Female,1,7.2,6.5,14.7,17.1,6.1,?
Female,2,9,8.5,19.3,22.7,7.7,?
Male,1,9.1,6.9,16.7,18.6,7.4,?
Male,2,10.2,8.2,20.2,22.2,9,?
Male,3,10.7,8.6,20.7,22.7,9.2,?
Male,4,11.4,9,22.7,24.8,10.1,?
Female,1,10.7,9.7,21.4,24,9.8,?
Female,2,11.4,9.2,21.7,24.1,9.7,?
